0,103,Ryan Christie,Bournemouth,0,36.4,0,1.6,-1.6,0
0,104,Carney Chukwuemeka,Chelsea,1,66.7,0.33,0.2,0.8,0
0,105,Bobby Clark,Liverpool,0,0,0,0.1,-0.1,0
0,106,Jordan Clark,Luton Town,1,25,0.08,0.8,0.2,0
0,107,Nathaniel Clyne,Crystal Palace,0,0,0,0,0,0
0,108,SÃ©amus Coleman,Everton,0,0,0,0,0,0
0,109,Nathan Collins,Brentford,1,20,0.1,1.7,-0.7,0
0,110,Levi Colwill,Chelsea,1,27.3,0.09,1.3,-0.3,0
0,111,Lewis Cook,Bournemouth,0,30,0,0.3,-0.3,0
0,112,Jack Cork,Burnley,0,0,0,0,0,0
0,113,Maxwel Cornet,West Ham,1,25,0.25,0.4,0.6,0
0,114,VladimÃ­r Coufal,West Ham,0,25,0,0.2,-0.2,0
0,115,Philippe Coutinho,Aston Villa,0,33.3,0,0.1,-0.1,0
0,116,Aaron Cresswell,West Ham,0,0,0,0,0,0
0,117,Marc Cucurella,Chelsea,0,66.7,0,0.9,-0.9,0
0,118,Josh Cullen,Burnley,1,30,0.1,0.3,0.7,0
0,119,Matheus Cunha,Wolves,9,50,0.13,8.2,0.8,0
0,120,Mahmoud Dahoud,Brighton,0,16.7,0,0.2,-0.2,0
0,121,Ameen Al-Dakhil,Burnley,1,37.5,0.13,1.3,-0.3,0
0,122,Diogo Dalot,Manchester Utd,1,16.7,0.04,1,0,0
0,123,Mikkel Damsgaard,Brentford,0,50,0,0.8,-0.8,0
0,124,Danilo,Nott ham Forest,1,25,0.06,0.7,0.3,0
0,125,Arnaut Danjuma,Everton,1,36,0.04,2.6,-1.6,0
0,126,Jayden Danns,Liverpool,0,0,0,0,0,0
0,127,Josh Dasilva,Brentford,0,0,0,0,0,0
0,128,David Datro Fofana,Burnley,4,56.3,0.25,3.7,0.3,0
0,129,Ben Davies,Tottenham,1,16.7,0.08,2.3,-1.3,0
0,130,Tom Davies,Sheffield Utd,0,25,0,0.4,-0.4,0
0,131,Craig Dawson,Wolves,1,31.3,0.06,1.5,-0.5,0
0,132,Kevin De Bruyne,Manchester City,3,28.6,0.14,1.1,1.9,0
0,133,Hannes Delcroix,Burnley,0,50,0,0.4,-0.4,0
